,X,Y
1,1.15E+00,7.21E+00
2,1.62E+00,1.82E-01
3,-1.48E+00,4.40E+00
4,-8.11E-01,9.59E-01
5,-1.88E+00,6.01E+00
6,2.09E+00,1.89E+01
7,3.55E+00,2.72E+01
8,-2.57E+00,1.28E+01
9,2.51E+00,2.09E+01
10,5.69E-01,-1.01E+01
11,1.94E+00,6.70E+00
12,-1.25E+00,-4.67E-01
13,-2.17E+00,-8.75E+00
14,3.40E+00,3.68E+01
15,-2.08E+00,1.00E+01
16,2.19E+00,6.58E+00
17,-5.06E-01,3.85E+00
18,-2.27E-01,-1.56E+01
19,4.07E+00,5.36E+01
20,3.70E+00,3.57E+01
21,1.31E+00,8.83E+00
22,9.34E-01,-5.00E-01
23,-5.47E-01,6.93E+00
24,1.47E+00,2.19E+00
25,-8.64E-01,1.16E+00
26,-2.67E+00,1.59E+01
27,-2.99E+00,1.13E+01
28,5.66E-01,2.11E+00
29,1.59E+00,-1.42E+01
30,-1.57E+00,-3.27E+00
31,-3.38E-01,-2.64E-01
32,2.40E+00,1.97E+01
33,-7.61E-01,-3.15E+00
34,6.24E-01,-8.67E-01
35,9.66E-01,-1.14E+01
36,6.26E-01,-1.00E+01
37,-2.75E+00,5.90E-01
38,-1.58E+00,-3.84E+00
39,-1.42E+00,-1.68E+01
40,-2.69E+00,5.56E+00
41,1.99E+00,1.24E+01
42,-2.11E+00,3.05E+00
43,1.00E+00,-1.95E+00
44,-2.41E+00,6.96E+00
45,4.16E+00,4.57E+01
46,-2.03E+00,9.56E+00
47,-6.76E-01,-8.89E+00
48,4.51E+00,4.37E+01
49,-1.89E+00,-6.32E+00
50,4.48E-01,6.19E+00
51,4.12E+00,3.33E+01
52,-2.42E+00,1.24E+01
53,6.36E-01,-4.76E+00
54,4.87E+00,4.24E+01
55,3.88E+00,1.81E+01
56,-1.10E-01,-2.07E+00
57,-1.88E+00,-9.55E+00
58,6.01E-01,-6.01E-01
59,3.32E+00,1.37E+01
60,3.55E+00,2.60E+01
61,2.26E+00,3.30E+00
62,9.16E-01,-1.09E-01
63,2.95E+00,4.61E+00
64,4.26E+00,3.69E+01
65,2.01E+00,-2.00E+00
66,-1.26E+00,1.59E-01
67,3.76E+00,2.22E+01
68,2.15E+00,1.19E+01
69,4.33E+00,4.66E+01
70,4.69E+00,4.95E+01
71,-5.90E-01,1.75E+00
72,1.37E+00,-2.24E+00
73,4.82E+00,3.44E+01
74,-2.88E+00,1.78E+01
75,-8.64E-01,2.03E+00
76,2.38E+00,-2.21E+00
77,-8.63E-01,-1.02E+01
78,-1.05E+00,1.67E+00
79,1.64E+00,9.40E+00
80,2.34E+00,7.48E+00
81,1.43E+00,1.04E+00
82,3.19E+00,2.86E+01
83,3.58E+00,3.02E+01
84,3.06E+00,1.33E+01
85,3.49E+00,1.46E+01
86,2.50E+00,1.65E+00
87,2.58E+00,1.26E+01
88,4.32E+00,4.93E+01
89,-1.67E+00,-8.85E+00
90,2.60E+00,9.43E+00
91,3.84E+00,2.61E+01
92,3.66E+00,3.89E+01
93,-2.80E+00,2.71E+01
94,3.34E-01,8.15E+00
95,-2.29E+00,1.77E+01
96,4.86E+00,3.80E+01
97,2.79E+00,6.51E+00
98,4.85E+00,4.61E+01
99,1.72E+00,-1.19E+00
100,-1.73E+00,1.26E+01
