,X,Y
1,-6.03E-02,2.27E+00
2,1.79E+00,7.54E+00
3,5.59E-01,8.93E+00
4,-2.14E+00,-5.55E+00
5,1.35E+00,8.45E+00
6,-1.85E+00,-5.48E+00
7,-1.87E-01,3.25E+00
8,1.45E+00,8.02E+00
9,1.82E+00,1.13E+01
10,8.67E-01,2.94E+00
11,1.09E+00,3.33E+00
12,1.12E+00,3.81E+00
13,-1.14E+00,-2.84E+00
14,-2.11E+00,-5.79E+00
15,1.20E+00,8.14E+00
16,-8.49E-01,-2.11E+00
17,-5.64E-02,1.53E-02
18,-8.56E-01,7.03E+00
19,-3.89E-01,2.74E+00
20,-3.45E-01,3.68E+00
21,-1.60E+00,-1.98E+00
22,1.25E+00,7.78E+00
23,-8.64E-01,-2.44E+00
24,-9.76E-01,-2.65E+00
25,2.82E+00,8.46E+00
26,1.73E+00,1.37E+01
27,1.74E+00,6.64E+00
28,2.22E+00,8.14E+00
29,2.70E+00,1.14E+01
30,-2.44E+00,-7.06E+00
31,1.67E+00,5.11E+00
32,-1.61E+00,-3.89E+00
33,1.69E+00,6.76E+00
34,-7.84E-01,1.05E+00
35,-1.70E+00,-4.22E+00
36,-1.70E+00,-1.64E+00
37,-6.54E-01,8.27E-01
38,-7.14E-01,-1.21E+00
39,2.02E+00,7.81E+00
40,-2.07E-01,3.98E-01
41,-3.85E-01,7.62E-01
42,5.84E-01,5.46E+00
43,-4.61E-01,-9.20E-01
44,-2.15E+00,-4.20E+00
45,-2.69E+00,-6.26E+00
46,3.34E-01,1.78E+00
47,9.62E-01,2.89E+00
48,-2.72E+00,-8.09E+00
49,-1.16E+00,-1.17E+00
50,2.40E+00,1.52E+01
51,-2.10E+00,-5.14E+00
52,-2.83E+00,-7.46E+00
53,5.86E-01,6.30E+00
54,-2.20E+00,-2.82E+00
55,-2.95E+00,-4.42E+00
56,-2.75E+00,-7.57E+00
57,-2.66E+00,-4.10E+00
58,-1.61E+00,-4.53E+00
59,-2.70E+00,-7.05E+00
60,-2.49E+00,-4.85E+00
61,-2.47E+00,-6.50E+00
62,2.09E+00,6.50E+00
63,1.73E+00,6.49E+00
64,-8.81E-01,-1.50E+00
65,-2.60E+00,-5.19E+00
66,-1.69E+00,-4.36E+00
67,-2.86E+00,-6.57E+00
68,-1.64E+00,-7.77E-01
69,-1.81E+00,-4.83E+00
70,9.98E-01,3.73E+00
71,1.43E-01,1.39E+00
72,9.10E-01,4.54E+00
73,6.02E-01,1.11E+01
74,2.98E+00,9.73E+00
75,-1.38E+00,2.54E+00
76,-2.46E+00,-6.51E+00
77,-2.21E+00,-3.66E+00
78,7.98E-01,7.00E+00
79,1.76E+00,8.39E+00
80,-2.20E-01,-4.96E-01
81,1.99E+00,6.53E+00
82,-1.24E+00,-1.67E+00
83,2.75E+00,1.42E+01
84,4.78E-01,3.72E+00
85,1.84E-01,7.77E-01
86,-6.82E-01,-5.20E-01
87,-3.78E-01,-3.76E-01
88,1.91E+00,6.43E+00
89,-2.09E+00,-2.61E+00
90,-2.37E+00,6.37E+00
91,2.82E+00,1.09E+01
92,-2.06E+00,-8.68E-01
93,-1.10E+00,-2.97E+00
94,-2.35E+00,-3.75E+00
95,3.55E-01,1.39E+00
96,1.74E+00,5.24E+00
97,-2.02E+00,-5.19E+00
98,2.13E+00,1.09E+01
99,3.33E-01,1.23E+00
100,6.80E-01,2.49E+00
